Kicker,Latent Skill (z),Confidence (σ),Certified Score,Power Rating
R.Bullock,0.014130455,0.056744814,-0.079498485,32.2001
B.McManus,0.0144212,0.057048395,-0.07970865,31.67883
J.Nedney,0.012237164,0.056154124,-0.08041714,29.92157
C.Santos,0.012662712,0.05694122,-0.0812903,27.755892
J.Myers,0.0118307825,0.056711353,-0.08174295,26.633184
D.Hopkins,0.011224017,0.056484748,-0.08197582,26.055607
S.Suisham,0.009518832,0.055455945,-0.08198348,26.036608
J.Wilkins,0.010520616,0.056090556,-0.0820288,25.924196
R.Bironas,0.010288144,0.056070082,-0.08222749,25.431385
D.Bailey,0.012412397,0.057540808,-0.08252993,24.681244
C.Boswell,0.011205635,0.056888994,-0.082661204,24.355652
L.Tynes,0.008928549,0.055524647,-0.082687125,24.291363
D.Carpenter,0.0098691275,0.056113716,-0.0827185,24.213543
C.Barth,0.007873396,0.0551875,-0.08318598,23.054062
M.Gramatica,0.0071568177,0.055091687,-0.08374446,21.668869
W.Lutz,0.008892683,0.056152813,-0.08375946,21.63167
J.Reed,0.009038457,0.056274857,-0.08381506,21.493757
M.Andersen,0.0070564547,0.055090465,-0.083842814,21.424921
K.Forbath,0.0062210974,0.05469805,-0.08403068,20.958958
N.Kaeding,0.007762955,0.055842634,-0.08437739,20.09901
M.Vanderjagt,0.0073730825,0.055716496,-0.084559135,19.64824
J.Hall,0.005478438,0.054705694,-0.08478595,19.085667
H.Butker,0.007674577,0.056062095,-0.08482788,18.981682
G.Joseph,0.0018938748,0.053018454,-0.08558657,17.099907
T.Peterson,0.003584492,0.054086436,-0.085658126,16.92243
J.Lambo,0.0028959871,0.053731352,-0.08576074,16.66791
K.Fairbairn,0.0064846464,0.055934627,-0.08580749,16.551968
J.Elliott,0.0072720414,0.056455813,-0.08588005,16.371996
Y.Koo,0.004906043,0.05524847,-0.086253926,15.444672
J.Sanders,0.00435593,0.054930262,-0.086279005,15.38247
D.Rayner,0.0010611635,0.05300665,-0.08639981,15.082842
D.Carlson,0.00433609,0.054994494,-0.08640482,15.070406
C.Parkey,0.0036955052,0.054614127,-0.0864178,15.038215
D.Brien,0.0011556882,0.05309947,-0.08645843,14.937446
J.Slye,0.002245933,0.0537679,-0.0864711,14.906012
C.Sturgis,0.0009884116,0.05306932,-0.08657597,14.645912
P.Edinger,0.0020389878,0.053828795,-0.08677852,14.143526
S.Christie,0.0011433668,0.053377952,-0.08693025,13.767189
G.Hartley,0.0018964475,0.05385612,-0.08696615,13.678154
M.Badgley,0.0020348588,0.054000016,-0.08706517,13.432561
B.Walsh,0.002673115,0.054407366,-0.08709904,13.348553
B.Conway,6.0724728e-05,0.05289543,-0.087216735,13.056631
E.Pineiro,0.000991869,0.0534903,-0.08726713,12.931636
G.Anderson,0.0015933159,0.0538649,-0.08728377,12.89037
A.Rosas,-0.000566706,0.05266156,-0.08745828,12.457523
P.Murray,-0.0016025351,0.052049518,-0.08748424,12.393141
Z.Gonzalez,0.00054388103,0.05342242,-0.087603115,12.098299
W.Richey,-0.0012998574,0.052346185,-0.087671064,11.929766
B.Maher,0.0009976191,0.05380004,-0.087772444,11.678314
C.McLaughlin,0.0010401381,0.053846456,-0.087806515,11.593807
A.Seibert,0.0010995235,0.054063257,-0.088104844,10.853867
T.Bass,0.00082095596,0.053912256,-0.08813427,10.78089
M.Gay,0.0012423728,0.054171417,-0.088140465,10.765515
S.Ficken,-0.0024736864,0.051940106,-0.088174865,10.680195
M.Hollis,-0.0006448242,0.053090073,-0.08824345,10.510091
