Kicker,Latent Skill (z),Confidence (σ),Certified Score,Power Rating
S.Castillo,0.00636756,0.054240063,-0.07499254,17.514776
D.Eberle,0.003590239,0.052482218,-0.075133085,17.301176
L.Havrisik,0.005344987,0.053789772,-0.075339675,16.987206
M.Wishnowsky,0.0036384042,0.053070776,-0.07596776,16.03266
B.Johnson,0.004208903,0.05385564,-0.07657456,15.110467
R.Santoso,0.0014019947,0.052282102,-0.07702116,14.431731
C.Parkey,0.0043381653,0.05440997,-0.07727679,14.043234
L.Hajrullahu,0.000612008,0.05214907,-0.077611595,13.534403
S.Sloman,0.0013796758,0.052683745,-0.07764594,13.4822035
T.Bertolet,-0.00231378,0.050536484,-0.0781185,12.764018
C.Little,-0.00031116413,0.051974975,-0.078273624,12.52827
C.Naggar,0.00079340336,0.052776515,-0.07837137,12.379722
C.Shudak,-0.00045708218,0.052100226,-0.078607425,12.020968
C.Blewitt,0.0014168026,0.053399455,-0.07868238,11.907057
B.Pinion,-0.0017013929,0.051369153,-0.07875512,11.796508
N.Sciba,0.0002510813,0.052683886,-0.07877474,11.766684
M.Nugent,0.00334174,0.05483456,-0.0789101,11.560975
J.Bates,-0.00015165501,0.052886385,-0.07948124,10.692974
B.Narveson,0.0007985088,0.053557098,-0.07953714,10.608016
D.Bailey,0.0038370183,0.055602867,-0.07956728,10.5622015
T.Russolino,-0.0033967956,0.051161684,-0.080139324,9.69283
J.Karty,-0.0008051073,0.052909836,-0.080169864,9.646416
D.Ogunbowale,-0.004351885,0.0508888,-0.08068508,8.863407
W.Reichard,-0.0007249365,0.05346119,-0.08091672,8.511369
J.Brown,-0.0016146593,0.05297449,-0.08107639,8.268701
K.Forbath,-0.0066413064,0.049719013,-0.08121983,8.050707
A.Vinatieri,-0.0037352657,0.05165697,-0.08122072,8.049348
